4911-Centrize
(x,y,z,r)
(3.95164, -14.61174, -4.85421, 15.89597)
(-14.54853, 2.47674, -5.91678, 15.89976)
(11.42176, -10.33114, -4.06731, 15.92897)
(3.95164, -0.94096, -15.41118, 15.93754)
(10.11836, -4.35866, -11.53800, 15.95320)
(7.47012, 12.72982, 6.06538, 15.95744)
(13.63684, -5.97249, -5.89689, 16.01273)
(-6.16672, -3.41770, -14.43015, 16.06046)
(-6.16672, 3.41770, -14.43015, 16.06046)
(6.16672, -3.41770, 14.43015, 16.06046)
(6.16672, 3.41770, 14.43015, 16.06046)
(12.33345, 6.83539, 7.74636, 16.08858)
(-12.33345, -6.83539, -7.74636, 16.08858)
(-12.33345, 6.83539, -7.74636, 16.08858)
(12.33345, -6.83539, 7.74636, 16.08858)
(3.95164, 11.11598, 10.98124, 16.11733)
(-0.91169, -6.83539, 14.57875, 16.12742)
(-0.91169, 6.83539, 14.57875, 16.12742)
(-2.21509, 7.69829, -14.00588, 16.13490)
(-7.07841, 13.59272, -5.12988, 16.16112)
(3.95164, -14.61174, 5.70276, 16.17529)
(-12.33345, 10.17503, -2.46788, 16.17824)
(12.33345, 10.17503, 2.46788, 16.17824)
(0.00000, 3.33964, -15.83545, 16.18378)
(0.00000, 3.33964, 15.83545, 16.18378)
(0.00000, -3.49576, -15.83545, 16.21672)
(0.00000, -3.49576, 15.83545, 16.21672)
(-11.03005, -5.97249, 10.28130, 16.21844)
(-7.07841, -10.25308, -10.40837, 16.23465)
(-7.07841, 10.25309, -10.40837, 16.23465)
(-8.38181, 5.89443, -12.60057, 16.24110)
(-7.07841, 13.59272, 5.42709, 16.25790)
(-4.86333, 12.72982, 8.87599, 16.26295)
(11.42176, -6.83539, -9.34580, 16.26416)
(11.42176, 6.83539, -9.34580, 16.26416)
(-12.33345, -10.33114, -2.46788, 16.27688)
(12.33345, -10.33114, 2.46788, 16.27688)
(-7.07841, -13.74884, -5.12988, 16.29264)
(-14.54853, -4.35866, -5.91678, 16.29926)
(-2.21509, 14.53368, 7.10807, 16.32970)
(13.63684, 7.69829, 4.66008, 16.33841)
(-8.38181, -2.55480, 13.79185, 16.34004)
(1.30340, 16.14752, 2.19220, 16.34769)
(-13.24514, 3.33964, -9.00306, 16.35977)
(-7.07841, -13.74884, 5.42709, 16.38865)
(-13.24514, -3.49576, -9.00306, 16.39235)
(1.30340, 14.53368, 7.47069, 16.39323)
(-13.24514, -6.83539, 6.83239, 16.39627)
(-13.24514, 6.83539, 6.83239, 16.39627)
(11.42176, 0.00000, 11.76814, 16.39956)
(-2.21509, 16.14752, 1.82958, 16.40111)
(-7.07841, -10.25308, 10.70557, 16.42677)
(-7.07841, 10.25309, 10.70557, 16.42677)
(-14.54853, 7.69829, -0.63830, 16.47213)
(-11.03005, -11.19404, 5.00281, 16.49232)
(7.47012, -9.39019, 11.34387, 16.51247)
(13.63684, 9.31213, -0.61841, 16.52458)
(16.28508, -0.94096, 2.89215, 16.56665)
(-11.03005, -5.97249, -10.83264, 16.57343)
(7.47012, 11.11598, -9.77007, 16.57776)
(5.25504, 13.59272, -7.94049, 16.59605)
(11.42176, 10.17503, 6.48966, 16.61636)
(16.28508, -2.55480, -2.38634, 16.65609)
(-11.03005, -11.19404, -5.55416, 16.66785)
(-8.38181, 4.28060, 13.79185, 16.69711)
(3.95164, -16.22558, 0.42427, 16.70523)
(11.42176, -10.33114, 6.48966, 16.71241)
(5.25504, -13.74884, -7.94049, 16.72416)
(13.63684, 7.69829, -5.89689, 16.73322)
(10.11836, 9.31213, 9.57594, 16.75695)
(3.95164, -0.94096, 16.25973, 16.75946)
(-13.24514, 10.17503, 1.55391, 16.77437)
(7.47012, -0.94096, -15.04856, 16.82698)
(-2.21509, -11.19404, 12.38655, 16.84161)
(-13.24514, -10.33114, 1.55391, 16.86952)
(10.11836, -12.80788, 4.29746, 16.87872)
(-11.03005, -12.80788, -0.27567, 16.90502)
