6121-Centrize
(x,y,z,r)
(-8.09296, 3.72570, -2.64910, 9.29487)
(-1.92624, 8.14122, -4.05440, 9.29667)
(6.43855, -1.13126, -6.65305, 9.32726)
(2.87789, -2.67325, -8.48604, 9.35101)
(-9.08679, -0.67260, -2.13600, 9.35867)
(-3.28884, 0.74444, 8.75472, 9.38167)
(6.80732, -6.09095, 2.16498, 9.38757)
(1.96472, 8.28340, 4.04986, 9.42742)
(-6.88872, -5.52956, -3.32933, 9.44007)
(6.43855, 5.70413, 3.90393, 9.44631)
(-5.52612, 7.70478, -0.30290, 9.48649)
(-1.90416, -8.43432, 3.93684, 9.50065)
(-2.92007, 5.70413, 7.01577, 9.50184)
(-8.07088, -5.01663, 0.06366, 9.50315)
(1.96472, 0.16583, 9.32834, 9.53444)
(-1.92624, 0.30800, -9.33289, 9.53457)
(3.24666, -7.50799, -4.94661, 9.55927)
(6.80732, -5.96600, -3.11351, 9.57218)
(-8.07088, -0.20493, -5.21483, 9.61122)
(-5.52612, -6.09095, 4.97559, 9.61219)
(-8.07088, -0.20493, 5.34214, 9.68089)
(0.64060, -9.50864, -1.70820, 9.68208)
(-2.92007, 2.74509, -8.81979, 9.68767)
(3.24666, 9.12183, 0.33198, 9.68807)
(-6.88872, -6.52739, 1.94915, 9.68816)
(-6.91080, 3.21277, -6.04209, 9.72563)
(-8.09296, 4.72353, 2.62939, 9.73249)
(-4.20188, -8.80508, 0.17675, 9.75789)
(0.64060, 4.16214, 8.84877, 9.79972)
(-9.45556, -2.54830, -0.39705, 9.80098)
(7.72049, -3.25187, -5.09254, 9.80380)
(-3.28884, -5.96600, -7.08084, 9.82588)
(8.13157, 4.86570, -2.63386, 9.83538)
(9.41338, 2.74509, -1.07343, 9.86405)
(-6.91080, -3.62262, -6.04209, 9.86861)
(2.87789, 4.16214, -8.48604, 9.88021)
(-9.08679, 2.28644, 3.14259, 9.88299)
(5.44473, -5.52956, -6.13994, 9.89545)
(4.24049, -8.94725, -0.18122, 9.90292)
(7.72049, 3.58352, -5.09254, 9.91875)
(3.24666, -7.50799, 5.61036, 9.91902)
(-5.52612, -6.09095, -5.58138, 9.93929)
(-1.90416, 3.21277, 9.21532, 9.94333)
(7.72049, -3.25187, 5.46443, 10.00203)
(-4.61296, -3.25187, 8.27504, 10.01650)
(4.26256, 8.65415, -2.74695, 10.03043)
(0.64060, -9.38369, 3.57028, 10.06037)
(-6.88872, 1.30583, 7.22763, 10.06968)
(-1.90416, -3.62262, 9.21532, 10.08322)
(-4.61296, 4.86570, -7.56041, 10.10516)
(-6.88872, 7.14339, 1.94915, 10.11344)
(7.72049, 3.58352, 5.46443, 10.11472)
(6.80732, 0.86939, 7.44346, 10.12426)
(-4.61296, 3.58352, 8.27504, 10.12903)
(2.87789, -9.50864, 2.07093, 10.14817)
(-2.92007, -4.09030, -8.81979, 10.15116)
(-2.92007, 9.58048, 1.73718, 10.16515)
(9.04461, 0.74444, -4.61286, 10.18025)
(4.26256, -5.01663, 7.81002, 10.21432)
(-0.72200, -2.11186, -10.01312, 10.25885)
(5.42265, 5.23646, 6.98276, 10.27543)
(-1.90416, 10.04816, -1.34165, 10.31462)
(9.41338, -4.09030, -1.07343, 10.31962)
(2.87789, -9.38369, -3.20766, 10.32594)
(9.41338, -1.13126, 4.20516, 10.37183)
(-4.61296, -8.80508, 2.99656, 10.38210)
(-9.45556, 4.28709, -0.39705, 10.38963)
(6.80732, 7.57983, 2.16498, 10.41540)
(-10.36873, 0.16583, 1.58198, 10.49003)
(10.40721, 0.30800, -1.58653, 10.53195)
(-1.92624, 8.14122, 6.50257, 10.59591)
(-5.89489, 5.70413, 6.71454, 10.60056)
(10.42929, -1.59894, 1.12623, 10.61108)
(-5.52612, 7.57983, 4.97559, 10.61830)
(-5.89489, -7.96665, -3.84244, 10.62928)
(-9.08679, -4.54895, 3.14259, 10.63666)
(5.42265, -8.43432, -3.57422, 10.64509)
(-1.90416, -10.45801, -1.34165, 10.71428)
(1.96472, 8.28340, -6.50711, 10.71529)
(-0.74408, 6.63047, 8.38806, 10.71803)
(6.80732, 7.70478, -3.11351, 10.74231)
(5.44473, 8.14122, 4.41703, 10.74405)
(0.27183, 2.28644, -10.52623, 10.77512)
(6.80732, 0.74444, -8.39199, 10.83141)
(0.27183, 2.28644, 10.58771, 10.83519)
(9.04461, 0.74444, 5.94411, 10.84858)
(9.04461, -5.96600, 0.66552, 10.85546)
(5.42265, 3.21277, -8.85270, 10.86726)
(1.55364, 8.28340, 6.86966, 10.87294)
(6.43855, 5.70413, -6.65305, 10.87452)
(-1.90416, -8.43432, -6.62013, 10.88989)
(-10.77980, 1.44801, -0.87670, 10.91190)
(-5.52612, 7.57983, -5.58138, 10.91530)
(-6.91080, -8.43432, -0.76361, 10.93069)
(6.43855, -7.96665, 3.90393, 10.96189)
(-3.28884, 7.70478, -7.08084, 10.96898)
(3.24666, 2.28644, -10.22499, 10.96900)
